Name,Description,FKBP5,Kallikrein2,ZBTB10,BM039,TMEPAI,NKX3-1,KLK3,EAF2,MED28,ABCC4,SARG,GNMT,MPHOSPH9,NNMT,TNK1,MGC4504,MAN1A1,GLRA2,CD200,SRP72,MAF,ACSL3,HERC3,PTGER4,,Class
androgenA_502B_E23,androgen,546.5,321.5,128,613,234.5,1959,2792,245,106,998,66,209,177,312,1095,17610,109,302,292,373,1295,304,774,220,,1
androgenA_502B_G23,androgen,771.5,430,217,812.5,313,2191.5,3008,304,113,1098,156,263,230,380,1317,17034,94,331,436,499.5,1453,284,904,218,,1
androgenA_502B_I23,androgen,519,325,159,620,271,1920,2864,254.5,109,886,100,218,178,309.5,1106.5,17691,111,319,395,387,1160,235.5,779.5,189,,1
androgenA_502B_K23,androgen,460,596,208.5,1020.5,344.5,2340,3164,392.5,126,1159,193,300.5,272,480,1381.5,16382.5,99,418.5,539,486,1613.5,358,1151,238.5,,1
androgenA_502B_M23,androgen,532,357,187,908,329,1762.5,2970.5,385,106.5,1413,63.5,343.5,215,220,580,15625,44,140,275,240,1686.5,308.5,962.5,211.5,,1
androgenA_502B_O23,androgen,0,821,362,1613.5,548,2727.5,3180.5,636,243,1608,206,581,407,334,1397,16525.5,55.5,285.5,517,624,2196,485,1748,386,,1
androgenA_502C_A23,androgen,381.5,247.5,186,533,211,1733,3023,360.5,168,925.5,99,163,114,182,382,16932,99,263.5,339,264,1097,285,1326,182.5,,1
androgenA_502C_C23,androgen,903,601,316,1038,399,2268.5,3506,478,174.5,1432,193,430,267,360,842,18578,84,464,659.5,494.5,1891,451,1377,279,,1
androgenA_502C_E23,androgen,605.5,349,228,745,318,1802,3341,370,152.5,1066,120,331,194,186,347,16818.5,77.5,368.5,428,244,1375,425,1206,302,,1
androgenA_502C_G23,androgen,569,370,179.5,689,237,1685,3123,300,108,963,137,233.5,162.5,259,613,17944,56,296.5,387,328,1326,300,929,147,,1
androgenA_502C_I23,androgen,618,407,183,768,326.5,1809,3357,385,161,1201,123,366.5,171,194,424,17648,71,183,294,224,1718.5,473,1260,288.5,,1
androgenA_502C_K23,androgen,513,353.5,179.5,689.5,247.5,1417.5,3063.5,292,130.5,999,108,241,147,233,530,16302,89,211.5,282,285,1411.5,278,925,214,,1
androgenA_502C_M23,androgen,318,239,115,608,225,1450.5,3087,324,126.5,914,66,237,116,136.5,431,17191,83.5,251,388,220,1285,324,994.5,192,,1
androgenA_502C_O23,androgen,1066,720,293,1349.5,487.5,2246,3921.5,742.5,199,1652,192,524,284,275,851,17284,63,382,542,439.5,1983,557.5,1708,306,,1
androgenA_503A_A23,androgen,327,172,107,321.5,137,1348,2755.5,199,70,709.5,54,120,166.5,217,319,5314,87.5,129.5,324,185,762,123.5,625,94.5,,1
androgenA_503A_C23,androgen,541.5,330.5,186,517.5,210.5,1350.5,2648.5,202,116.5,635,75,162.5,138,257,244,5541.5,123,128,323,162,822,178,575,185,,1
androgenA_503A_E23,androgen,396,177,86,359,129,1163,2505.5,194,81,614,58,149.5,104,232,211.5,4989,120,77,116,120,765,156.5,568,108.5,,1
androgenA_503A_G23,androgen,299,143.5,55,328,120,922,2061,132,68,443,45,123,80.5,201,220.5,5569,99,89,159,117,552,116,384.5,84.5,,1
androgenA_503A_I23,androgen,266.5,129,56,258,92,886,2108,121,46.5,477.5,54,85,104,154,156,5281,82,59.5,98.5,106,607,107.5,352,87,,1
androgenA_503A_K23,androgen,287.5,102,84,298,101.5,768,1900.5,136,63,378,59,103.5,86,144,121,5271,89.5,70,103,129,524,96,355,100,,1
androgenA_503A_M23,androgen,256,124,47,286,77,816,2270,152.5,62,505,66,99,81.5,142,93,5198,82,43,60,87,541.5,132.5,428,89,,1
androgenA_503A_O23,androgen,298.5,109,67,314,117,876,2083,139.5,57,429,73,103,75,143,126,5426.5,91,90,131.5,95,473,100,391.5,75,,1
androgenA_503B_A23,androgen,605,530,277,864,406,2230,3419,423.5,152.5,1238,128,250,344,216,627,4901,101,444,858,352,1404,385.5,1468,283,,1
androgenA_503B_C23,androgen,649,473,207.5,1088,320,2046,3072.5,328,128,1025.5,148,268,183,296,549,5146.5,91.5,293,441,231,1286,308,1117,236,,1
androgenA_503B_E23,androgen,664,537,192.5,1108,313,2216,3574,363,167,1318,80,295,308,288.5,516,4824,85,278.5,319,217,1564.5,445.5,1442,296.5,,1
androgenA_503B_G23,androgen,585,387,156,948,246,1904,3027,331,121,981,107,252,175,252,311,4910.5,91,192,275,163,1137,255,1055,232,,1
androgenA_503B_I23,androgen,692,630.5,221,1143,323,2195,3546,390,151,1188.5,141,332,292,291,459.5,4808,67,230,346,229,1585,439,1402,301,,1
androgenA_503B_K23,androgen,523,365,109,955,242.5,1828,2890.5,269.5,122.5,862,97,231,192,225.5,291,5032,92.5,168,290,152,993,265,953,198,,1
androgenA_503B_M23,androgen,326.5,250,101.5,637,166,1540,2534,223,94,777,81,206,169,163,376,4836.5,96,180,266,149,893.5,213,853.5,150,,1
androgenA_503B_O23,androgen,881,573,287,1288,468,2207.5,3307.5,420,210.5,1242,178,374.5,282,301,446.5,5267,82,233.5,517.5,216,1286.5,341.5,1463.5,289,,1
androgenA_503C_A23,androgen,310,247,223,346,231,2148.5,2467,222,84,700,80,129.5,172,108,775,4516,104,430,538,275.5,761,218.5,685,186.5,,1
androgenA_503C_C23,androgen,547,356,171,815,257,1802,2974,304,101,890.5,88.5,316,158,141,435,4679,68,196,423,165,1320,275,806,205,,1
androgenA_503C_E23,androgen,481,336.5,197.5,624,269,1732,3069,323.5,135,906,83,320,214,125,394,4494,72,205,419,184,1361,340,842.5,257,,1
androgenA_503C_G23,androgen,430,322,160,731,219.5,1760,2789,313,91.5,895,85,261,158,142,572,4835,75,248,364,173.5,1291.5,246,664,196,,1
androgenA_503C_I23,androgen,315,256,120,455.5,207,1323,2891,233,78.5,793.5,67,207,210,120,462.5,4516,73.5,162,294,146,1208,237,690,163,,1
androgenA_503C_K23,androgen,577,464,169,757,287.5,1920,2873.5,326,117,922,127.5,312,209,181,514.5,4802,74,215,507,169.5,1299,253.5,833,221,,1
androgenA_503C_M23,androgen,346,252,119.5,632,210.5,1510.5,2907.5,309.5,97,935.5,54,256,174,102.5,237,4626.5,66,128.5,234,129,1163,266,742.5,163,,1
androgenA_503C_O23,androgen,917.5,546,207.5,1219,412,2209.5,3369.5,570.5,177,1326,142.5,461,247,172.5,242.5,5155,46,120,289,164,1744,398.5,1212.5,289,,1
androgenB_500A_B23,androgen,510,332.5,208.5,664.5,203,1526,2589,243,80,966.5,88.5,179,197,285,142,4096.5,145.5,105.5,225,232.5,1298.5,266.5,983,191,,1
androgenB_500A_D23,androgen,666.5,288.5,195,710.5,233,1770,2731.5,309.5,127,790,129,277,203.5,380.5,144,4482,133,151,205,247,1319,295.5,1004,204,,1
androgenB_500A_F23,androgen,766,369,216.5,924.5,225,1961,2797,298,104,1231,114,240,276,419,165,4246.5,104,98,182,240,1556,349,1134.5,244,,1
androgenB_500A_H23,androgen,917,405,193,1033,320,2459,3266,417,160,1046,164,413.5,301,420,174,4600.5,114,151,262,313.5,1760,369,1405.5,250,,1
androgenB_500A_J23,androgen,693,345,192,1030,237,1926,3290,326,105,1256,116.5,330,273,374.5,136,4486,112,98,138,275,1698,358,1215.5,239.5,,1
androgenB_500A_L23,androgen,988,456.5,255.5,1323,371,2684,3385.5,540,194,1256,170.5,553,353,470.5,186.5,4531,126,133.5,225,281,2277,491,1640,338,,1
androgenB_500A_N23,androgen,765,407.5,200.5,998.5,319.5,1886.5,2974.5,291.5,118.5,1224,126,352.5,308,307.5,126,4313,81,76,161.5,223,1751,362,1277,302,,1
androgenB_500A_P23,androgen,839,407,293,1130,361,2564,3607,603,184,1407,208,335,303,499,335.5,4518.5,120,251,419,402,1788,381,1773,299.5,,1
androgenB_500B_B23,androgen,788.5,509,272.5,951,273,2211.5,2921.5,202,85.5,1345,178.5,216,191,493,661,4527,147,402,447,449.5,1553,392,1231.5,301.5,,1
androgenB_500B_D23,androgen,689,341,201,784.5,251,2198,2973,253,114.5,1024,149.5,209,221,488.5,526,5053,170,353.5,343,447,1149,303.5,1027,208,,1
androgenB_500B_F23,androgen,659,412,218,778,221,1990,2664,247,111,1195,148,175,239,458.5,562.5,4734,163,235,253,424,1089,341,1175.5,190,,1
androgenB_500B_H23,androgen,642,300,142,752,220,2004,3029,289.5,111.5,956.5,144,193,213,417.5,434,4879,157.5,202,240,344,1215.5,271,1036,173,,1
androgenB_500B_J23,androgen,905.5,502,230,1134,314.5,2166,3225.5,399,110,1569,176,303.5,256,453,472,4546,124,187,252,420,1745,424,1452,256,,1
androgenB_500B_L23,androgen,724,446,209,913,334,2390,3153,337.5,149,1180,206,222,284,537,662,5038,162,260,331,474,1415,358,1226,208,,1
androgenB_500B_N23,androgen,535.5,362.5,184,739.5,214,1880,2629,237,82,1147.5,103,160.5,190,411,629,4373,130,254,329,386.5,1158,260,1016,168,,1
androgenB_500B_P23,androgen,494.5,255.5,149.5,575,199,1896.5,2874,297,105,886,133,154,177,368.5,675,4819,147,245,410.5,333,804,179,1089,160,,1
androgenB_500C_B23,androgen,942,575,521.5,1072,391.5,2553.5,3400,432.5,177,1749,239,313,395,710,879,4533.5,187.5,741,786.5,725,1857,610.5,1621,463,,1
androgenB_500C_D23,androgen,956,380,403.5,1179,398,2239.5,3607.5,503,192,1439.5,247.5,520,300,661,404,5036,204,208,383.5,1246,1896.5,448,1436.5,328,,1
androgenB_500C_F23,androgen,1375,759,482.5,1387,449,2585,4130.5,493,232.5,2133,267.5,420,417,723.5,525,4625,214,286.5,450,935.5,2121,676.5,1854.5,502.5,,1
androgenB_500C_H23,androgen,1092,435,287.5,1168,376,2491,3908,548,230,1570,233,451.5,359,643.5,307.5,5176.5,151,215,306,521,2003,501,1511,352,,1
androgenB_500C_J23,androgen,1120.5,651,435,1404,446,2630,3563.5,496.5,175,1917,275,499,392,694.5,590,4885.5,224.5,459,631.5,845,1985,622.5,1720,385,,1
androgenB_500C_L23,androgen,1381,736,437,1727,557,3233,4555.5,908,299.5,2035,386,764,517,912,469.5,4918,178,427,563,1044.5,2574,704,2145,484,,1
androgenB_500C_N23,androgen,1154,545,343,1401,407,2597.5,3714,544,174,1828,238.5,446.5,393,623.5,426,4511,155,390,555,754.5,2199,564.5,1738,437.5,,1
androgenB_500C_P23,androgen,1265,748,398,1756,612,3285,4300,1104,319,2339,334,574,562,732,625,5205.5,171,420,601,628,2624,656,2704,443,,1
androgenB_501A_B23,androgen,783.5,709,446,812.5,498,2956,3455,555.5,235,1096,234.5,350,287.5,455,1347.5,11679,133,1054.5,1041,512,1556.5,440,1468.5,421,,1
androgenB_501A_D23,androgen,1123,939.5,444,1236,534.5,2998,3478,560,249,1432.5,285,478,354.5,504,1276,12211,134,833.5,956,588,1830,564,1546.5,402.5,,1
androgenB_501A_F23,androgen,971,911,407,1240,552,3181,3683,689,239,1469.5,276,537,322,502,1346,12038,123,765,1003,618,1962.5,608,1762,383.5,,1
androgenB_501A_H23,androgen,878,820.5,416.5,938,491.5,3040,3204,503,180,1308.5,270,333.5,326,480,1959.5,12441,160.5,1092,1219,801.5,1749,437,1286,394.5,,1
